payer_name,filing_type_code,filing_type_desc,total_claims,total_billed,denied_claims,denial_rate_pct,avg_paid_ratio,avg_net_recovery_ratio,avg_days_to_pay,median_days_to_pay,claims_with_dtp,dtp_coverage_pct,avg_pi_adj_ratio,sequestration_pct,late_payment_pct,recoupment_pct,forwarding_pct,denial_score,recovery_score,dtp_score
MD PRIORITY PARTNERS,MC,Medicaid,115,984146.33,0,0.0,0.4872,0.4872,21.1,15.0,97,84.3,0.0,0.0,3.5,10.4,1.7,7,5,5
MD MEDICAID,MC,Medicaid,115,858321.0,85,73.91,0.0679,0.0679,7.4,7.0,111,96.5,0.0,0.0,0.0,0.0,0.0,1,0,6
TRICARE EAST REGION,CH,Champus,113,1087891.92,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
CIGNA,CI,Commercial Insurance Co.,105,411266.3,8,7.62,0.4164,0.36,7.6,6.0,86,81.9,-0.0213,0.0,1.0,0.0,0.0,4,3,6
CAREFIRST CHPMD,MC,Medicaid,104,4293838.9,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
DC MEDICAID EMERGENCY,MC,Medicaid,104,1865517.75,58,55.77,0.1854,0.2703,,,0,0.0,-0.0048,0.0,0.0,0.0,0.0,1,3,3
AMERIGROUP DC ALNC,MC,Medicaid,93,251750.82,0,0.0,0.3501,0.3501,13.3,13.0,87,93.5,0.0,0.0,0.0,0.0,52.7,7,3,6
CAREFIRST MISCELLANEOUS,BL,Blue Cross/Blue Shield,91,967961.27,2,2.2,0.147,0.1536,8.1,5.0,70,76.9,0.0,0.0,13.2,11.0,1.1,6,1,6
MCD MD DECO,MC,Medicaid,78,1506380.69,27,34.62,0.2144,0.2144,10.4,7.0,76,97.4,0.0,0.0,0.0,0.0,0.0,1,1,6
HUMANA MEDICARE,MA,Medicare Part A,70,218609.96,0,0.0,0.1025,0.1025,2.8,2.0,65,92.9,0.0,0.0,4.3,2.9,0.0,7,1,6
HUMANA,MA,Medicare Part A,67,1544912.71,1,1.49,0.1651,0.1651,7.3,4.0,60,89.6,0.0,6.0,3.0,1.5,1.5,6,1,6
VA MEDICAID,MC,Medicaid,64,886462.51,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
MD MEDSTAR FAMILY CH,MC,Medicaid,62,657991.02,34,54.84,0.0467,0.0467,,,0,0.0,0.0,0.0,6.5,3.2,6.5,1,0,3
UMR,CI,Commercial Insurance Co.,57,499093.09,0,0.0,0.2733,0.2733,,,0,0.0,0.0,0.0,0.0,1.8,0.0,7,3,3
CAREFIRST ADMINISTRA,BL,Blue Cross/Blue Shield,53,213669.98,0,0.0,0.342,0.342,11.0,2.0,3,5.7,0.0,0.0,0.0,3.8,0.0,7,3,6
GEHA,CI,Commercial Insurance Co.,53,361075.23,0,0.0,0.1971,0.1971,14.0,14.0,1,1.9,0.0,0.0,0.0,0.0,0.0,7,1,6
KAISER MD MEDICAID,CI,Commercial Insurance Co.,50,466890.63,0,0.0,0.2224,0.8567,1.8,1.0,46,92.0,0.0,0.0,8.0,14.0,0.0,7,7,6
WELLPOINT DC MCAIDD,MC,Medicaid,45,154808.83,0,0.0,0.251,0.251,12.8,13.0,42,93.3,0.0,0.0,4.4,0.0,51.1,7,3,6
VETERANS AFFAIRS MED,CH,Champus,41,983799.68,0,0.0,0.0,0.0,25.3,29.0,35,85.4,0.0,0.0,0.0,0.0,0.0,7,0,5
ANTHEM HEALTHKEEPERS,MC,Medicaid,37,1456953.68,2,5.41,0.2268,0.269,15.7,17.0,25,67.6,-0.0147,0.0,13.5,16.2,0.0,4,3,5
MEDICARE PART B ONLY,MA,Medicare Part A,36,589724.88,1,2.78,0.175,0.175,14.7,14.0,33,91.7,0.0,0.0,8.3,5.6,0.0,6,1,6
HUMANA COMM CLAIMS,CI,Commercial Insurance Co.,35,138480.28,0,0.0,0.0749,0.0749,6.8,2.0,33,94.3,0.0,0.0,0.0,17.1,0.0,7,0,6
SEDGWICK CLAIMS,WC,Workers' Compensation Health Claim,34,92652.07,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
UNTD HLTHCARE SHARED,CI,Commercial Insurance Co.,34,240858.51,0,0.0,0.2483,0.2483,,,0,0.0,0.0,0.0,0.0,2.9,5.9,7,1,3
CARELON BEHAVIORAL H,MC,Medicaid,33,290764.48,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
MD MEDSTAR FAMILY CHOICE,MC,Medicaid,32,89607.4,13,40.63,0.0108,0.0108,,,0,0.0,0.0,0.0,9.4,9.4,0.0,1,0,3
AMERIHEALTH DC  MED,MC,Medicaid,29,98642.13,0,0.0,0.3535,0.3535,107.5,25.0,29,100.0,0.0,0.0,24.1,0.0,0.0,7,3,0
AMERIHEALTH DC MEDIC,MC,Medicaid,29,1775177.96,0,0.0,0.2665,0.2665,27.7,25.0,27,93.1,0.0,0.0,41.4,0.0,0.0,7,3,5
BMI BENEFITS LLC,CI,Commercial Insurance Co.,29,55502.43,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
CIGNA HEALTHSPRING B,MA,Medicare Part A,28,214556.65,0,0.0,0.1441,0.1615,10.3,9.0,22,78.6,0.0,3.6,0.0,0.0,0.0,7,1,6
CARELON BEHAVIORAL HEALTH,MC,Medicaid,28,244601.76,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
CAREFIRST MEDICARE A,MA,Medicare Part A,25,2080603.79,0,0.0,0.151,0.151,27.2,14.5,14,56.0,0.0,0.0,20.0,0.0,0.0,7,1,5
CAREFIRST PREFIXR,BL,Blue Cross/Blue Shield,24,110106.88,3,12.5,0.2214,0.2214,4.5,1.0,22,91.7,0.0,0.0,0.0,0.0,0.0,4,1,6
BCBS,BL,Blue Cross/Blue Shield,19,110936.87,2,10.53,0.4178,0.4178,7.0,3.0,12,63.2,0.0,0.0,5.3,26.3,0.0,4,5,6
SENTARA HEALTH PLAN,MC,Medicaid,18,53379.03,0,0.0,0.2595,0.2595,6.3,7.0,10,55.6,0.0,0.0,0.0,0.0,11.1,7,3,6
MERITAIN HEALTH,CI,Commercial Insurance Co.,15,172175.5,0,0.0,0.3637,0.3637,15.0,14.0,8,53.3,0.0,0.0,0.0,0.0,0.0,7,3,6
ANTHEM BCBS,BL,Blue Cross/Blue Shield,15,67628.46,1,6.67,0.147,0.147,10.4,9.5,14,93.3,0.0,0.0,40.0,26.7,0.0,4,1,6
BCBS OF ILLINOIS,BL,Blue Cross/Blue Shield,14,117888.34,3,21.43,0.1034,0.1034,21.2,20.5,12,85.7,0.0,0.0,50.0,7.1,0.0,2,1,5
AMERIHEALTH CARITAS,MC,Medicaid,13,41570.61,0,0.0,0.3967,0.3967,222.8,24.0,13,100.0,0.0,0.0,15.4,0.0,0.0,7,3,0
SENTARA COMMUNITY PL,MC,Medicaid,11,163564.55,0,0.0,0.1882,0.1882,6.6,7.0,7,63.6,0.0,0.0,0.0,0.0,18.2,7,1,6
AMRHLTH MCAID DOWNGRADE,MA,Medicare Part A,11,186775.36,0,0.0,0.1291,0.1291,25.2,25.5,10,90.9,0.0,0.0,9.1,0.0,0.0,7,1,5
NFL PLAYER BENEFITS,CI,Commercial Insurance Co.,11,21837.06,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
AETNA US HEALTHCARE,CI,Commercial Insurance Co.,10,8419.7,0,0.0,0.3003,0.3003,2.9,3.0,7,70.0,0.0,0.0,0.0,0.0,0.0,7,3,6
WELLCARE MEDICARE,MA,Medicare Part A,10,330659.8,1,10.0,0.0,0.0,10.0,10.0,1,10.0,0.0,0.0,0.0,0.0,0.0,4,0,6
VNS HEALTH EASY CARE,MA,Medicare Part A,10,10474.44,0,0.0,,,,,0,0.0,,0.0,0.0,0.0,0.0,7,0,3
HUMANA CHOICE,MA,Medicare Part A,10,74418.18,0,0.0,0.1315,0.1315,9.6,2.0,8,80.0,0.0,0.0,0.0,0.0,0.0,7,1,6
BC BS MD,BL,Blue Cross/Blue Shield,10,17103.54,0,0.0,0.2999,0.2999,13.5,6.0,10,100.0,0.0,0.0,10.0,0.0,0.0,7,3,6
HMSA BCBS HAWAII,BL,Blue Cross/Blue Shield,10,75723.78,1,10.0,0.2105,0.2288,16.0,13.0,10,100.0,0.0,0.0,50.0,50.0,0.0,4,1,5
HUMANA COMM CLAIMS,MC,Medicaid,10,114607.9,0,0.0,0.3014,0.3014,8.0,7.0,8,80.0,0.0,0.0,0.0,0.0,0.0,7,3,6
